time,open,high,low,close,volume,SMA_14,SMA_50
1752170100,212.44,212.44,212.23,212.38,72162,212.78,212.85
1752170160,212.38,212.5,212.34,212.43,78409,212.75,212.85
1752170220,212.45,212.58,212.45,212.53,90507,212.71,212.85
1752170280,212.54,212.54,212.29,212.38,60086,212.66,212.85
1752170340,212.37,212.46,212.34,212.39,30479,212.61,212.84
1752170400,212.38,212.39,212.25,212.29,39284,212.56,212.83
1752170460,212.29,212.4,212.27,212.29,47436,212.52,212.82
1752170520,212.3,212.4,212.26,212.3,26242,212.49,212.81
1752170580,212.29,212.31,212.15,212.25,33886,212.45,212.8
1752170640,212.26,212.36,212.25,212.28,32456,212.41,212.79
1752170700,212.29,212.31,212.1,212.14,49079,212.37,212.77
1752170760,212.14,212.2,212.06,212.09,44694,212.34,212.75
1752170820,212.08,212.24,211.98,212.23,120361,212.32,212.73
1752170880,212.22,212.33,212.17,212.31,76049,212.31,212.72
1752170940,212.31,212.32,212.15,212.17,35139,212.29,212.7
1752171000,212.18,212.26,212.07,212.11,35218,212.27,212.68
1752171060,212.1,212.13,211.83,211.99,92080,212.23,212.66
1752171120,211.98,212.0,211.86,211.98,72784,212.2,212.64
1752171180,211.98,212.07,211.96,212.04,61320,212.18,212.62
1752171240,212.03,212.08,211.99,212.03,44693,212.16,212.59
1752171300,212.03,212.14,212.0,212.09,72468,212.14,212.57
1752171360,212.09,212.21,212.01,212.06,88778,212.13,212.55
1752171420,212.06,212.07,211.92,212.02,129593,212.11,212.53
1752171480,212.01,212.14,211.95,212.11,52496,212.1,212.51
1752171540,212.09,212.2,212.08,212.13,54889,212.1,212.5
1752171600,212.12,212.14,212.03,212.11,46324,212.1,212.48
1752171660,212.11,212.14,212.03,212.04,33693,212.08,212.46
1752171720,212.06,212.08,211.97,211.98,49111,212.06,212.45
1752171780,211.99,212.12,211.94,212.1,63049,212.06,212.44
1752171840,212.1,212.1,211.95,212.02,38042,212.05,212.43
1752171900,212.02,212.16,212.0,212.06,112320,212.06,212.41
1752171960,212.07,212.07,211.95,212.01,59510,212.06,212.4
1752172020,212.01,212.11,211.97,212.05,42075,212.06,212.39
1752172080,212.05,212.13,212.01,212.1,57238,212.06,212.37
1752172140,212.11,212.18,212.04,212.08,65052,212.06,212.36
1752172200,212.07,212.12,211.85,211.93,76136,212.05,212.34
1752172260,211.92,212.15,211.89,212.08,73884,212.06,212.32
1752172320,212.08,212.1,211.91,211.92,54673,212.04,212.3
1752172380,211.92,211.97,211.86,211.92,44849,212.03,212.28
1752172440,211.93,212.0,211.86,211.98,46162,212.02,212.26
1752172500,211.96,211.97,211.86,211.92,35420,212.01,212.23
1752172560,211.92,212.09,211.9,212.01,105661,212.01,212.22
1752172620,212.01,212.09,211.99,212.09,51714,212.01,212.2
